Date,Open,High,Low,Close,Volume
2016-08-05,24.3511,24.6591,24.3294,24.6199,146171193
2016-08-08,24.6299,24.828,24.5492,24.828,111786341
2016-08-09,24.7965,24.9583,24.7475,24.9291,111246220
2016-08-10,24.9063,24.9486,24.6865,24.7456,97309965
2016-08-11,24.8632,24.9553,24.7082,24.7278,101863435
2016-08-12,24.6905,24.8456,24.6905,24.7847,78113944
2016-08-15,24.7748,25.0918,24.7622,25.0781,106865481
2016-08-16,25.1125,25.2529,25.02,25.0585,143097323
2016-08-17,24.9938,25.0566,24.8212,25.0182,99232595
2016-08-18,25.025,25.1057,24.9781,24.9899,82474343
2016-08-19,24.9192,25.1264,24.826,25.0537,107096876
2016-08-22,24.9417,24.983,24.7082,24.8602,107301533
2016-08-23,24.88,25.0439,24.8651,24.9388,82873920
2016-08-24,24.873,24.9142,24.6671,24.7495,98308555
2016-08-25,24.6021,24.7161,24.4441,24.6395,99981213
2016-08-26,24.608,24.7328,24.359,24.4954,116981527
2016-08-29,24.4295,24.612,24.356,24.4738,102241141
2016-08-30,24.2381,24.4042,24.1676,24.2824,97513410
2016-08-31,24.2049,24.4178,24.1999,24.3098,116533327
2016-09-01,24.3195,24.4699,24.1949,24.4539,107076102
2016-09-02,24.6709,24.7456,24.4738,24.6786,112462310
2016-09-06,24.7201,24.8114,24.6299,24.6709,101467525
2016-09-07,24.7033,24.9162,24.5266,24.826,169708662
2016-09-08,24.569,24.573,24.1097,24.1735,216776331
2016-09-09,23.9693,24.2197,23.626,23.626,192176322
2016-09-12,23.5162,24.2197,23.4885,24.1577,178592228
2016-09-13,24.6299,24.9241,24.566,24.7328,267326800
2016-09-14,24.9093,25.8916,24.883,25.6079,464212365
2016-09-15,26.0877,26.5088,25.9975,26.4705,386574150
2016-09-16,26.3751,26.603,26.1291,26.3293,307576756
2016-09-19,26.391,26.6157,25.9455,26.0192,202458245
2016-09-20,25.8966,26.1476,25.777,26.0172,148122009
2016-09-21,26.0857,26.1173,25.7611,26.0114,144991048
2016-09-22,26.2027,26.3331,26.1193,26.2545,128781122
2016-09-23,26.2155,26.297,25.557,25.8207,225678866
2016-09-26,25.5788,25.9779,25.557,25.8572,124974522
2016-09-27,25.8837,25.9288,25.7382,25.9062,104307911
2016-09-28,26.0466,26.2604,25.9849,26.1075,125911246
2016-09-29,25.9229,26.0732,25.6148,25.7024,151228649
2016-09-30,25.765,25.972,25.6148,25.8966,145585363
2016-10-03,25.8207,25.8966,25.7237,25.7799,90993431
2016-10-04,25.8994,26.1928,25.8023,25.8837,127909166
2016-10-05,25.9799,26.0387,25.8148,25.8966,87281125
2016-10-06,26.0486,26.1997,25.9161,26.0956,122470137
2016-10-07,26.1928,26.2447,26.0015,26.1349,104586363
2016-10-10,26.3526,26.7472,26.2801,26.5862,154322423
2016-10-11,26.9669,27.1918,26.6207,26.6452,271835384
2016-10-12,26.8885,27.0259,26.7472,26.8856,161322276
2016-10-13,26.757,26.9052,26.5058,26.8001,148763946
2016-10-14,27.0063,27.0671,26.8365,26.9505,150407255
2016-10-17,26.8856,26.9963,26.755,26.9327,96052407
2016-10-18,27.0691,27.077,26.9081,26.9129,96200260
2016-10-19,26.866,26.9798,26.0732,26.8345,85245529
2016-10-20,26.7746,26.8934,26.652,26.8199,103084299
2016-10-21,26.7618,26.7854,26.6403,26.7128,95398662
2016-10-24,26.8296,26.9738,26.805,26.9542,99163330
2016-10-25,27.019,27.1142,26.8816,27.0865,168279278
2016-10-26,26.1928,26.5019,25.9602,26.4755,280937998
2016-10-27,26.4265,26.5401,26.1436,26.2282,122332776
2016-10-28,26.0897,26.3969,25.9896,26.0534,151802046
2016-10-31,26.0367,26.1731,25.9328,26.0094,115321347
2016-11-01,25.9896,26.0663,25.3194,25.5431,191300778
2016-11-02,25.5235,25.7402,25.4845,25.566,123668634
2016-11-03,25.557,25.6657,25.2261,25.2898,116960995
2016-11-04,24.9919,25.3831,24.8966,25.0605,133916728
2016-11-07,25.3443,25.447,25.2037,25.4228,137183531
2016-11-08,25.3981,25.7266,25.2609,25.5758,99757727
2016-11-09,25.2997,25.6346,24.883,25.5335,242076737
2016-11-10,25.5833,25.5833,24.3725,24.8212,244617523
2016-11-11,24.6641,25.0664,24.5334,24.9712,146430700
2016-11-14,24.8044,24.826,23.9624,24.3462,222241334
2016-11-15,24.5394,24.7965,24.4481,24.6611,140116026
2016-11-16,24.569,25.3782,24.5462,25.3244,252487739
